,ra,dec
229,3.052444476395186,-3.816860169394087
230,3.056129157909432,-3.818402494406382
231,3.058754691467329,-3.815479024073642
232,3.061497974343124,-3.816095029345179
233,3.063319837324939,-3.811747482615897
234,3.066985942450614,-3.813710205545599
235,3.060331834186261,-3.802152477149547
236,3.065459295932269,-3.807460639096865
237,3.067025933934622,-3.798155108344043
238,3.061123346894982,-3.794639288916892
239,3.067604414436754,-3.798050235918492
240,3.078200940940217,-3.843061111956596
241,3.079981746388996,-3.841921105597905
242,3.075573843411457,-3.83704875612658
243,3.094837868410682,-3.845296039944802
244,3.091342307835493,-3.839395603206717
245,3.101947186063758,-3.841720138768416
246,3.075701700773191,-3.824330738728642
247,3.089482245612167,-3.831133013862658
248,3.111783654663027,-3.829065145818029
249,3.08799470273831,-3.812862559406303
250,3.092832267726168,-3.817532531515071
251,3.102206395617799,-3.818327164472689
252,3.092117137975315,-3.811264997961453
253,3.093451296189416,-3.810712285388333
254,3.094433291751508,-3.808577506573398
255,3.097830404884222,-3.812009905305309
256,3.076103882724156,-3.803674256853975
257,3.085067659913993,-3.806297704223931
258,3.083371994833076,-3.800078143289687
259,3.095091154817413,-3.80704030627356
260,3.098480835043758,-3.804157597017612
261,3.104007358172681,-3.817701527801509
262,3.114016723634299,-3.819541440840013
263,3.103792424293796,-3.811622687277683
264,3.108698501383804,-3.807844361325516
265,3.128042871937842,-3.811242195017022
266,3.11585264484123,-3.801763123320852
267,3.128774911822975,-3.806484444727768
268,3.118103733501472,-3.796048857257655
269,3.120184686581813,-3.794607622479451
270,3.238914867560541,-3.992685127779145
271,3.369190952446251,-3.914712601283887
272,3.522237516162516,-3.813107991713527
273,3.239369291234059,-3.69990767119809
274,3.000486209269814,-3.77928958141937
275,3.00114189627378,-3.770612408821613
276,3.011014457448905,-3.770236447063436
277,3.004360887613056,-3.7420768966461
278,3.017071216861694,-3.743170859445575
279,3.01104413669157,-3.687906279692424
280,3.031202119636121,-3.780971954230188
281,3.019594933151358,-3.778664503236206
282,3.032567661391735,-3.773471075634087
283,3.041711654398825,-3.774933965607647
284,3.037517762417363,-3.767844153452755
285,3.049974897094978,-3.792412720777993
286,3.059998674684009,-3.785715019006541
287,3.063240535129234,-3.791492231967053
288,3.060768197210849,-3.788805525876223
289,3.068843586153824,-3.774821511535498
290,3.062242148007941,-3.772059898642704
291,3.034327643603946,-3.765155773497454
292,3.034085867384614,-3.753605067144086
293,3.046132546661388,-3.75372828530724
294,3.020737261047128,-3.751668253793965
295,3.022562689719866,-3.750981237733641
296,3.030075894141017,-3.741137831628722
297,3.033514768613064,-3.749163994197219
298,3.054921845287339,-3.765677016036558
299,3.049309826234532,-3.754346608920298
300,3.073990371736713,-3.752320887517178
301,3.056549698665993,-3.751311733564494
302,3.05196255626371,-3.744302205537174
303,3.052614374439308,-3.744516831054125
304,3.053382957130552,-3.744419346723885
305,3.050692729295652,-3.742638438752249
