ra,dec
3.3609722222222222,-4.020277777777777
3.3609722222222222,-4.008819444444445
3.3724305555555554,-4.077569444444444
3.3724305555555554,-4.066111111111111
3.3724305555555554,-4.054652777777778
3.3724305555555554,-4.0431944444444445
3.3724305555555554,-4.031736111111111
3.3724305555555554,-4.020277777777777
3.3724305555555554,-4.008819444444445
3.383888888888889,-4.077569444444444
3.383888888888889,-4.066111111111111
3.383888888888889,-4.054652777777778
3.383888888888889,-4.0431944444444445
3.383888888888889,-4.031736111111111
3.383888888888889,-4.020277777777777
3.383888888888889,-4.008819444444445
3.395347222222222,-4.066111111111111
3.395347222222222,-4.054652777777778
3.395347222222222,-4.0431944444444445
3.395347222222222,-4.031736111111111
3.395347222222222,-4.020277777777777
3.395347222222222,-4.008819444444445
3.4068055555555556,-4.066111111111111
3.4068055555555556,-4.054652777777778
3.4068055555555556,-4.0431944444444445
3.4068055555555556,-4.031736111111111
3.4068055555555556,-4.020277777777777
3.4068055555555556,-4.008819444444445
3.4182638888888888,-4.066111111111111
3.4182638888888888,-4.054652777777778
3.4182638888888888,-4.0431944444444445
3.4182638888888888,-4.031736111111111
3.4182638888888888,-4.020277777777777
3.4182638888888888,-4.008819444444445
3.4297222222222223,-4.066111111111111
3.4297222222222223,-4.054652777777778
3.4297222222222223,-4.0431944444444445
3.4297222222222223,-4.031736111111111
3.4297222222222223,-4.020277777777777
3.4297222222222223,-4.008819444444445
3.4411805555555555,-4.066111111111111
3.4411805555555555,-4.054652777777778
3.4411805555555555,-4.0431944444444445
3.4411805555555555,-4.031736111111111
3.4411805555555555,-4.020277777777777
3.4411805555555555,-4.008819444444445
3.452638888888889,-4.066111111111111
3.452638888888889,-4.054652777777778
3.452638888888889,-4.0431944444444445
3.452638888888889,-4.031736111111111
3.452638888888889,-4.020277777777777
3.452638888888889,-4.008819444444445
3.464097222222222,-4.066111111111111
3.464097222222222,-4.054652777777778
3.464097222222222,-4.0431944444444445
3.464097222222222,-4.031736111111111
3.464097222222222,-4.020277777777777
3.464097222222222,-4.008819444444445
3.4755555555555557,-4.066111111111111
3.4755555555555557,-4.054652777777778
3.4755555555555557,-4.0431944444444445
3.4755555555555557,-4.031736111111111
3.4755555555555557,-4.020277777777777
3.4755555555555557,-4.008819444444445
3.487013888888889,-4.066111111111111
3.487013888888889,-4.054652777777778
3.487013888888889,-4.0431944444444445
3.487013888888889,-4.031736111111111
3.487013888888889,-4.020277777777777
3.487013888888889,-4.008819444444445
3.4984722222222224,-4.066111111111111
3.4984722222222224,-4.054652777777778
3.4984722222222224,-4.0431944444444445
3.4984722222222224,-4.031736111111111
3.4984722222222224,-4.020277777777777
3.4984722222222224,-4.008819444444445
3.5099305555555556,-4.077569444444444
3.5099305555555556,-4.066111111111111
3.5099305555555556,-4.054652777777778
3.5099305555555556,-4.0431944444444445
3.5099305555555556,-4.031736111111111
3.5099305555555556,-4.020277777777777
3.5099305555555556,-4.008819444444445
3.5213888888888887,-4.077569444444444
3.5213888888888887,-4.066111111111111
3.5213888888888887,-4.054652777777778
3.5213888888888887,-4.0431944444444445
3.5213888888888887,-4.031736111111111
3.5213888888888887,-4.020277777777777
3.5213888888888887,-4.008819444444445
3.5328472222222222,-4.066111111111111
3.5328472222222222,-4.054652777777778
3.5328472222222222,-4.0431944444444445
3.5328472222222222,-4.031736111111111
3.5328472222222222,-4.020277777777777
3.5328472222222222,-4.008819444444445
3.544305555555556,-4.066111111111111
3.544305555555556,-4.054652777777778
3.544305555555556,-4.0431944444444445
3.544305555555556,-4.031736111111111
3.544305555555556,-4.020277777777777
3.544305555555556,-4.008819444444445
3.555763888888889,-4.066111111111111
3.555763888888889,-4.054652777777778
3.555763888888889,-4.0431944444444445
3.555763888888889,-4.031736111111111
3.555763888888889,-4.020277777777777
3.555763888888889,-4.008819444444445
3.567222222222222,-4.077569444444444
3.567222222222222,-4.066111111111111
3.567222222222222,-4.054652777777778
3.567222222222222,-4.0431944444444445
3.567222222222222,-4.031736111111111
3.567222222222222,-4.020277777777777
3.567222222222222,-4.008819444444445
3.5786805555555556,-4.066111111111111
3.5786805555555556,-4.054652777777778
3.5786805555555556,-4.0431944444444445
3.5786805555555556,-4.031736111111111
3.5786805555555556,-4.020277777777777
3.5786805555555556,-4.008819444444445
3.5901388888888888,-4.066111111111111
3.5901388888888888,-4.054652777777778
3.5901388888888888,-4.0431944444444445
3.5901388888888888,-4.031736111111111
3.5901388888888888,-4.020277777777777
3.5901388888888888,-4.008819444444445
3.6015972222222223,-4.066111111111111
3.6015972222222223,-4.054652777777778
3.6015972222222223,-4.0431944444444445
3.6015972222222223,-4.031736111111111
3.6015972222222223,-4.020277777777777
3.6015972222222223,-4.008819444444445
3.6130555555555555,-4.581736111111111
3.6130555555555555,-4.066111111111111
3.6130555555555555,-4.054652777777778
3.6130555555555555,-4.0431944444444445
3.6130555555555555,-4.031736111111111
3.6130555555555555,-4.020277777777777
3.6130555555555555,-4.008819444444445
3.624513888888889,-4.066111111111111
3.624513888888889,-4.054652777777778
3.624513888888889,-4.0431944444444445
3.624513888888889,-4.031736111111111
3.624513888888889,-4.020277777777777
3.624513888888889,-4.008819444444445
3.635972222222222,-4.066111111111111
3.635972222222222,-4.054652777777778
3.635972222222222,-4.0431944444444445
3.635972222222222,-4.031736111111111
3.635972222222222,-4.020277777777777
3.635972222222222,-4.008819444444445
3.6474305555555553,-4.066111111111111
3.6474305555555553,-4.054652777777778
3.6474305555555553,-4.0431944444444445
3.6474305555555553,-4.031736111111111
3.6474305555555553,-4.020277777777777
3.6474305555555553,-4.008819444444445
3.658888888888889,-4.066111111111111
3.658888888888889,-4.054652777777778
3.658888888888889,-4.0431944444444445
3.658888888888889,-4.031736111111111
3.658888888888889,-4.020277777777777
3.658888888888889,-4.008819444444445
3.6703472222222224,-4.066111111111111
3.6703472222222224,-4.054652777777778
3.6703472222222224,-4.0431944444444445
3.6703472222222224,-4.031736111111111
3.6703472222222224,-4.020277777777777
3.6703472222222224,-4.008819444444445
3.6818055555555556,-4.066111111111111
